,x,y,SPEED_MAX_GUST,MEAN_TEMPERATURE,STATION_NAME,LOCAL_DATE,MAX_TEMPERATURE,MIN_TEMPERATURE,LOCAL_YEAR,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY,MIN_REL_HUMIDITY,ID
34,-71.8236111111111,45.36888888888889,0.0,19.6,LENNOXVILLE,2021-07-18,22.4,16.7,2021,7.1,97.0,75.0,7024280.2021.7.18
35,-71.8236111111111,45.36888888888889,0.0,19.8,LENNOXVILLE,2021-07-19,23.2,16.4,2021,0.0,97.0,72.0,7024280.2021.7.19
36,-71.8236111111111,45.36888888888889,0.0,21.0,LENNOXVILLE,2021-07-20,25.0,16.9,2021,0.0,96.0,54.0,7024280.2021.7.20
37,-71.8236111111111,45.36888888888889,0.0,14.4,LENNOXVILLE,2021-07-21,18.2,10.6,2021,1.7,98.0,87.0,7024280.2021.7.21
38,-71.8236111111111,45.36888888888889,35.0,17.3,LENNOXVILLE,2021-07-22,24.5,10.1,2021,0.3,99.0,48.0,7024280.2021.7.22
39,-71.8236111111111,45.36888888888889,33.0,17.0,LENNOXVILLE,2021-07-23,25.0,9.1,2021,0.0,98.0,40.0,7024280.2021.7.23
40,-71.8236111111111,45.36888888888889,0.0,17.6,LENNOXVILLE,2021-07-24,27.4,7.9,2021,0.0,97.0,36.0,7024280.2021.7.24
41,-71.8236111111111,45.36888888888889,32.0,20.1,LENNOXVILLE,2021-07-25,26.5,13.6,2021,5.6,96.0,58.0,7024280.2021.7.25
42,-71.8236111111111,45.36888888888889,33.0,21.8,LENNOXVILLE,2021-07-26,26.6,16.9,2021,7.3,95.0,54.0,7024280.2021.7.26
43,-71.8236111111111,45.36888888888889,0.0,17.8,LENNOXVILLE,2021-07-27,21.4,14.2,2021,0.0,98.0,58.0,7024280.2021.7.27
44,-71.8236111111111,45.36888888888889,32.0,15.6,LENNOXVILLE,2021-07-28,22.1,9.1,2021,0.0,96.0,40.0,7024280.2021.7.28
45,-71.8236111111111,45.36888888888889,0.0,15.0,LENNOXVILLE,2021-07-29,22.3,7.8,2021,0.4,98.0,49.0,7024280.2021.7.29
46,-71.8236111111111,45.36888888888889,46.0,15.8,LENNOXVILLE,2021-07-30,19.4,12.1,2021,0.0,98.0,57.0,7024280.2021.7.30
47,-71.8236111111111,45.36888888888889,36.0,15.9,LENNOXVILLE,2021-07-31,21.8,10.1,2021,0.0,83.0,38.0,7024280.2021.7.31
48,-71.8236111111111,45.36888888888889,0.0,14.8,LENNOXVILLE,2021-08-01,20.9,8.7,2021,6.9,98.0,56.0,7024280.2021.8.1
49,-71.8236111111111,45.36888888888889,34.0,17.1,LENNOXVILLE,2021-08-02,22.0,12.2,2021,9.0,98.0,53.0,7024280.2021.8.2
50,-71.8236111111111,45.36888888888889,44.0,18.3,LENNOXVILLE,2021-08-03,25.5,11.1,2021,0.0,93.0,44.0,7024280.2021.8.3
51,-71.8236111111111,45.36888888888889,0.0,19.7,LENNOXVILLE,2021-08-04,26.8,12.7,2021,0.0,96.0,51.0,7024280.2021.8.4
52,-71.8236111111111,45.36888888888889,0.0,19.7,LENNOXVILLE,2021-08-05,26.5,13.0,2021,0.0,97.0,45.0,7024280.2021.8.5
53,-71.8236111111111,45.36888888888889,0.0,20.7,LENNOXVILLE,2021-08-06,29.0,12.4,2021,0.0,97.0,41.0,7024280.2021.8.6
54,-71.8236111111111,45.36888888888889,41.0,21.2,LENNOXVILLE,2021-08-07,28.4,14.0,2021,10.4,99.0,51.0,7024280.2021.8.7
55,-71.8236111111111,45.36888888888889,0.0,22.3,LENNOXVILLE,2021-08-08,26.9,17.7,2021,0.0,97.0,52.0,7024280.2021.8.8
56,-71.8236111111111,45.36888888888889,0.0,23.6,LENNOXVILLE,2021-08-09,29.2,18.0,2021,0.0,95.0,56.0,7024280.2021.8.9
57,-71.8236111111111,45.36888888888889,0.0,23.0,LENNOXVILLE,2021-08-10,29.9,16.1,2021,0.0,97.0,50.0,7024280.2021.8.10
58,-71.8236111111111,45.36888888888889,35.0,25.3,LENNOXVILLE,2021-08-11,29.1,21.5,2021,2.8,93.0,69.0,7024280.2021.8.11
59,-71.8236111111111,45.36888888888889,35.0,25.9,LENNOXVILLE,2021-08-12,31.8,20.0,2021,0.0,95.0,54.0,7024280.2021.8.12
60,-71.8236111111111,45.36888888888889,39.0,25.7,LENNOXVILLE,2021-08-13,32.3,19.0,2021,0.0,95.0,36.0,7024280.2021.8.13
61,-71.8236111111111,45.36888888888889,44.0,20.4,LENNOXVILLE,2021-08-14,25.7,15.2,2021,10.4,95.0,46.0,7024280.2021.8.14
62,-71.8236111111111,45.36888888888889,0.0,15.5,LENNOXVILLE,2021-08-15,22.1,8.9,2021,0.0,95.0,40.0,7024280.2021.8.15
63,-71.8236111111111,45.36888888888889,0.0,16.2,LENNOXVILLE,2021-08-16,25.7,6.7,2021,0.0,96.0,42.0,7024280.2021.8.16
64,-71.8236111111111,45.36888888888889,0.0,18.0,LENNOXVILLE,2021-08-17,25.2,10.8,2021,0.0,96.0,56.0,7024280.2021.8.17
65,-71.8236111111111,45.36888888888889,0.0,22.4,LENNOXVILLE,2021-08-18,26.6,18.1,2021,5.6,98.0,73.0,7024280.2021.8.18
66,-71.8236111111111,45.36888888888889,0.0,20.9,LENNOXVILLE,2021-08-19,26.0,15.8,2021,0.2,99.0,73.0,7024280.2021.8.19
67,-71.8236111111111,45.36888888888889,0.0,24.1,LENNOXVILLE,2021-08-20,29.9,18.3,2021,0.0,98.0,58.0,7024280.2021.8.20
68,-71.8236111111111,45.36888888888889,0.0,24.7,LENNOXVILLE,2021-08-21,32.2,17.2,2021,5.2,98.0,47.0,7024280.2021.8.21
69,-71.8236111111111,45.36888888888889,32.0,23.1,LENNOXVILLE,2021-08-22,28.1,18.1,2021,0.0,97.0,57.0,7024280.2021.8.22
70,-71.8236111111111,45.36888888888889,0.0,24.0,LENNOXVILLE,2021-08-23,29.2,18.9,2021,0.0,95.0,57.0,7024280.2021.8.23
71,-71.8236111111111,45.36888888888889,33.0,24.7,LENNOXVILLE,2021-08-24,30.5,18.8,2021,0.0,95.0,51.0,7024280.2021.8.24
72,-71.8236111111111,45.36888888888889,0.0,24.1,LENNOXVILLE,2021-08-25,31.7,16.5,2021,0.0,96.0,42.0,7024280.2021.8.25
73,-71.8236111111111,45.36888888888889,43.0,24.8,LENNOXVILLE,2021-08-26,32.3,17.4,2021,0.0,93.0,43.0,7024280.2021.8.26
74,-71.8236111111111,45.36888888888889,31.0,16.1,LENNOXVILLE,2021-08-27,22.4,9.8,2021,0.0,93.0,46.0,7024280.2021.8.27
75,-71.8236111111111,45.36888888888889,0.0,13.8,LENNOXVILLE,2021-08-28,18.1,9.5,2021,0.7,97.0,57.0,7024280.2021.8.28
76,-71.8236111111111,45.36888888888889,0.0,16.6,LENNOXVILLE,2021-08-29,20.6,12.6,2021,3.2,97.0,78.0,7024280.2021.8.29
77,-71.8236111111111,45.36888888888889,43.0,21.6,LENNOXVILLE,2021-08-30,27.4,15.9,2021,9.1,96.0,45.0,7024280.2021.8.30
78,-71.8236111111111,45.36888888888889,41.0,19.7,LENNOXVILLE,2021-08-31,25.3,14.1,2021,0.0,93.0,47.0,7024280.2021.8.31
79,-71.8236111111111,45.36888888888889,0.0,16.0,LENNOXVILLE,2021-09-01,21.7,10.4,2021,0.3,94.0,46.0,7024280.2021.9.1
80,-71.8236111111111,45.36888888888889,31.0,15.0,LENNOXVILLE,2021-09-02,19.6,10.3,2021,0.0,97.0,59.0,7024280.2021.9.2
81,-71.8236111111111,45.36888888888889,38.0,16.8,LENNOXVILLE,2021-09-03,21.9,11.8,2021,1.4,96.0,52.0,7024280.2021.9.3
82,-71.8236111111111,45.36888888888889,36.0,15.2,LENNOXVILLE,2021-09-04,22.8,7.7,2021,0.0,98.0,30.0,7024280.2021.9.4
83,-71.8236111111111,45.36888888888889,41.0,15.7,LENNOXVILLE,2021-09-05,23.1,8.2,2021,0.9,96.0,58.0,7024280.2021.9.5
84,-71.8236111111111,45.36888888888889,37.0,17.6,LENNOXVILLE,2021-09-06,22.9,12.3,2021,22.2,98.0,59.0,7024280.2021.9.6
85,-71.8236111111111,45.36888888888889,37.0,15.8,LENNOXVILLE,2021-09-07,21.7,10.0,2021,0.0,97.0,51.0,7024280.2021.9.7
86,-71.8236111111111,45.36888888888889,47.0,18.1,LENNOXVILLE,2021-09-08,27.7,8.6,2021,47.6,98.0,51.0,7024280.2021.9.8
87,-71.8236111111111,45.36888888888889,0.0,18.2,LENNOXVILLE,2021-09-09,21.6,14.8,2021,0.0,99.0,69.0,7024280.2021.9.9
88,-71.8236111111111,45.36888888888889,37.0,12.8,LENNOXVILLE,2021-09-10,17.2,8.3,2021,0.2,99.0,59.0,7024280.2021.9.10
89,-71.8236111111111,45.36888888888889,32.0,14.5,LENNOXVILLE,2021-09-11,22.2,6.7,2021,0.0,97.0,47.0,7024280.2021.9.11
90,-71.8236111111111,45.36888888888889,51.0,17.4,LENNOXVILLE,2021-09-12,24.0,10.8,2021,0.3,95.0,40.0,7024280.2021.9.12
91,-71.8236111111111,45.36888888888889,33.0,14.1,LENNOXVILLE,2021-09-13,19.8,8.3,2021,0.0,96.0,51.0,7024280.2021.9.13
92,-71.8236111111111,45.36888888888889,0.0,14.3,LENNOXVILLE,2021-09-14,20.9,7.7,2021,0.0,97.0,48.0,7024280.2021.9.14
93,-71.8236111111111,45.36888888888889,45.0,17.7,LENNOXVILLE,2021-09-15,22.9,12.6,2021,6.8,96.0,76.0,7024280.2021.9.15
94,-71.8236111111111,45.36888888888889,0.0,14.9,LENNOXVILLE,2021-09-16,21.2,8.6,2021,0.0,99.0,50.0,7024280.2021.9.16
95,-71.8236111111111,45.36888888888889,38.0,16.4,LENNOXVILLE,2021-09-17,24.7,8.1,2021,0.0,98.0,59.0,7024280.2021.9.17
96,-71.8236111111111,45.36888888888889,45.0,14.5,LENNOXVILLE,2021-09-18,22.3,6.7,2021,0.7,98.0,50.0,7024280.2021.9.18
97,-71.8236111111111,45.36888888888889,0.0,11.9,LENNOXVILLE,2021-09-19,19.5,4.2,2021,0.0,99.0,45.0,7024280.2021.9.19
98,-71.8236111111111,45.36888888888889,0.0,13.4,LENNOXVILLE,2021-09-20,23.4,3.3,2021,0.0,98.0,35.0,7024280.2021.9.20
99,-71.8236111111111,45.36888888888889,40.0,16.5,LENNOXVILLE,2021-09-21,24.7,8.3,2021,0.0,96.0,34.0,7024280.2021.9.21
100,-71.8236111111111,45.36888888888889,44.0,17.6,LENNOXVILLE,2021-09-22,24.4,10.8,2021,0.0,97.0,66.0,7024280.2021.9.22
101,-71.8236111111111,45.36888888888889,39.0,23.0,LENNOXVILLE,2021-09-23,27.7,18.3,2021,0.0,83.0,50.0,7024280.2021.9.23
102,-71.8236111111111,45.36888888888889,37.0,15.9,LENNOXVILLE,2021-09-24,22.6,9.2,2021,5.9,98.0,73.0,7024280.2021.9.24
103,-71.8236111111111,45.36888888888889,0.0,15.5,LENNOXVILLE,2021-09-25,21.7,9.2,2021,0.0,99.0,50.0,7024280.2021.9.25
104,-71.8236111111111,45.36888888888889,45.0,13.7,LENNOXVILLE,2021-09-26,18.9,8.5,2021,0.0,99.0,44.0,7024280.2021.9.26
105,-71.8236111111111,45.36888888888889,45.0,13.0,LENNOXVILLE,2021-09-27,17.0,9.1,2021,9.4,98.0,63.0,7024280.2021.9.27
106,-71.8236111111111,45.36888888888889,0.0,8.6,LENNOXVILLE,2021-09-28,14.6,2.6,2021,0.0,98.0,54.0,7024280.2021.9.28
107,-71.8236111111111,45.36888888888889,0.0,5.5,LENNOXVILLE,2021-09-29,10.1,0.9,2021,3.4,98.0,85.0,7024280.2021.9.29
108,-71.8236111111111,45.36888888888889,0.0,9.6,LENNOXVILLE,2021-09-30,12.7,6.6,2021,1.0,97.0,68.0,7024280.2021.9.30
109,-71.8236111111111,45.36888888888889,32.0,10.5,LENNOXVILLE,2021-10-01,13.9,7.1,2021,0.0,97.0,56.0,7024280.2021.10.1
110,-71.8236111111111,45.36888888888889,0.0,10.7,LENNOXVILLE,2021-10-02,12.5,8.9,2021,7.3,98.0,88.0,7024280.2021.10.2
111,-71.8236111111111,45.36888888888889,0.0,12.3,LENNOXVILLE,2021-10-03,17.8,6.8,2021,0.0,98.0,63.0,7024280.2021.10.3
112,-71.8236111111111,45.36888888888889,0.0,11.8,LENNOXVILLE,2021-10-04,18.3,5.3,2021,0.0,98.0,61.0,7024280.2021.10.4
113,-71.8236111111111,45.36888888888889,0.0,12.7,LENNOXVILLE,2021-10-05,17.3,8.0,2021,0.0,96.0,63.0,7024280.2021.10.5
114,-71.8236111111111,45.36888888888889,35.0,13.3,LENNOXVILLE,2021-10-06,21.0,5.6,2021,0.0,98.0,46.0,7024280.2021.10.6
115,-71.8236111111111,45.36888888888889,0.0,12.2,LENNOXVILLE,2021-10-07,20.9,3.5,2021,0.0,99.0,49.0,7024280.2021.10.7
116,-71.8236111111111,45.36888888888889,0.0,13.1,LENNOXVILLE,2021-10-08,22.2,3.9,2021,0.0,98.0,51.0,7024280.2021.10.8
117,-71.8236111111111,45.36888888888889,0.0,14.6,LENNOXVILLE,2021-10-09,20.2,9.0,2021,0.0,97.0,51.0,7024280.2021.10.9
118,-71.8236111111111,45.36888888888889,0.0,12.2,LENNOXVILLE,2021-10-10,16.4,8.0,2021,0.0,93.0,66.0,7024280.2021.10.10
119,-71.8236111111111,45.36888888888889,0.0,15.1,LENNOXVILLE,2021-10-11,21.4,8.8,2021,0.0,98.0,59.0,7024280.2021.10.11
120,-71.8236111111111,45.36888888888889,0.0,15.9,LENNOXVILLE,2021-10-12,24.4,7.3,2021,0.0,98.0,53.0,7024280.2021.10.12
121,-71.8236111111111,45.36888888888889,0.0,0.0,LENNOXVILLE,2021-10-13,0.0,0.0,2021,0.0,0.0,0.0,7024280.2021.10.13
122,-71.8236111111111,45.36888888888889,0.0,0.0,LENNOXVILLE,2021-10-14,0.0,0.0,2021,0.0,0.0,0.0,7024280.2021.10.14
123,-71.8236111111111,45.36888888888889,0.0,18.3,LENNOXVILLE,2021-10-15,21.9,14.7,2021,0.3,98.0,62.0,7024280.2021.10.15
124,-71.8236111111111,45.36888888888889,63.0,18.1,LENNOXVILLE,2021-10-16,23.7,12.5,2021,14.8,99.0,63.0,7024280.2021.10.16
125,-71.8236111111111,45.36888888888889,31.0,10.3,LENNOXVILLE,2021-10-17,12.8,7.9,2021,0.1,92.0,64.0,7024280.2021.10.17
126,-71.8236111111111,45.36888888888889,0.0,7.7,LENNOXVILLE,2021-10-18,8.9,6.4,2021,1.9,94.0,77.0,7024280.2021.10.18
127,-71.8236111111111,45.36888888888889,39.0,6.8,LENNOXVILLE,2021-10-19,8.4,5.1,2021,0.6,87.0,66.0,7024280.2021.10.19
128,-71.8236111111111,45.36888888888889,0.0,10.3,LENNOXVILLE,2021-10-20,15.5,5.1,2021,0.0,92.0,45.0,7024280.2021.10.20
129,-71.8236111111111,45.36888888888889,0.0,10.9,LENNOXVILLE,2021-10-21,14.1,7.7,2021,2.9,98.0,87.0,7024280.2021.10.21
130,-71.8236111111111,45.36888888888889,42.0,8.8,LENNOXVILLE,2021-10-22,14.0,3.6,2021,3.7,99.0,74.0,7024280.2021.10.22
131,-71.8236111111111,45.36888888888889,0.0,3.9,LENNOXVILLE,2021-10-23,5.9,1.8,2021,0.0,92.0,65.0,7024280.2021.10.23
132,-71.8236111111111,45.36888888888889,34.0,4.1,LENNOXVILLE,2021-10-24,10.1,-2.0,2021,0.0,95.0,45.0,7024280.2021.10.24
133,-71.8236111111111,45.36888888888889,0.0,2.3,LENNOXVILLE,2021-10-25,6.7,-2.0,2021,1.3,95.0,85.0,7024280.2021.10.25
134,-71.8236111111111,45.36888888888889,42.0,10.2,LENNOXVILLE,2021-10-26,13.8,6.7,2021,0.0,90.0,62.0,7024280.2021.10.26
135,-71.8236111111111,45.36888888888889,40.0,8.3,LENNOXVILLE,2021-10-27,12.5,4.0,2021,0.0,85.0,53.0,7024280.2021.10.27
136,-71.8236111111111,45.36888888888889,0.0,4.9,LENNOXVILLE,2021-10-28,11.2,-1.3,2021,0.0,94.0,48.0,7024280.2021.10.28
137,-71.8236111111111,45.36888888888889,0.0,5.7,LENNOXVILLE,2021-10-29,14.6,-3.2,2021,0.0,96.0,38.0,7024280.2021.10.29
138,-71.8236111111111,45.36888888888889,32.0,6.1,LENNOXVILLE,2021-10-30,12.6,-0.4,2021,9.5,97.0,77.0,7024280.2021.10.30
139,-71.8236111111111,45.36888888888889,40.0,9.5,LENNOXVILLE,2021-10-31,10.6,8.3,2021,30.3,98.0,86.0,7024280.2021.10.31
140,-71.8236111111111,45.36888888888889,58.0,7.4,LENNOXVILLE,2021-11-01,10.6,4.3,2021,1.4,86.0,38.0,7024280.2021.11.1
141,-71.8236111111111,45.36888888888889,40.0,3.3,LENNOXVILLE,2021-11-02,8.3,-1.7,2021,0.8,97.0,56.0,7024280.2021.11.2
142,-71.8236111111111,45.36888888888889,31.0,2.3,LENNOXVILLE,2021-11-03,6.5,-2.0,2021,1.0,99.0,44.0,7024280.2021.11.3
143,-71.8236111111111,45.36888888888889,0.0,-0.4,LENNOXVILLE,2021-11-04,4.6,-5.3,2021,0.0,94.0,45.0,7024280.2021.11.4
144,-71.8236111111111,45.36888888888889,0.0,0.8,LENNOXVILLE,2021-11-05,6.4,-4.8,2021,0.0,96.0,50.0,7024280.2021.11.5
145,-71.8236111111111,45.36888888888889,0.0,3.0,LENNOXVILLE,2021-11-06,9.4,-3.4,2021,0.0,92.0,49.0,7024280.2021.11.6
146,-71.8236111111111,45.36888888888889,0.0,3.8,LENNOXVILLE,2021-11-07,12.6,-4.9,2021,0.0,94.0,33.0,7024280.2021.11.7
147,-71.8236111111111,45.36888888888889,0.0,6.3,LENNOXVILLE,2021-11-08,12.6,0.1,2021,0.0,96.0,58.0,7024280.2021.11.8
148,-71.8236111111111,45.36888888888889,0.0,7.0,LENNOXVILLE,2021-11-09,14.4,-0.4,2021,0.0,98.0,66.0,7024280.2021.11.9
149,-71.8236111111111,45.36888888888889,44.0,5.0,LENNOXVILLE,2021-11-10,11.4,-1.5,2021,0.1,97.0,38.0,7024280.2021.11.10
150,-71.8236111111111,45.36888888888889,35.0,2.6,LENNOXVILLE,2021-11-11,9.2,-4.1,2021,0.0,93.0,40.0,7024280.2021.11.11
